Simulacion del paciente 
31/03/17 14:06:05 dia: 82  error: 0.738322
31/03/17 14:06:07 dia: 83  error: 0.822143
31/03/17 14:06:09 dia: 84  error: 0.915478
31/03/17 14:06:11 dia: 85  error: 0.0109057
31/03/17 14:06:14 dia: 86  error: 0.0121436
31/03/17 14:06:16 dia: 87  error: 0.0135219
31/03/17 14:06:19 dia: 88  error: 0.0150565
31/03/17 14:06:21 dia: 89  error: 0.0167651
31/03/17 14:06:24 dia: 90  error: 0.0186675
31/03/17 14:06:26 dia: 91  error: 0.0207855
31/03/17 14:06:29 dia: 92  error: 0.0231435
31/03/17 14:06:32 dia: 93  error: 0.0257687
31/03/17 14:06:34 dia: 94  error: 0.0286913
31/03/17 14:06:37 dia: 95  error: 0.0319448
31/03/17 14:06:39 dia: 96  error: 0.0355665
31/03/17 14:06:42 dia: 97  error: 0.0395981
31/03/17 14:06:44 dia: 98  error: 0.0440857
31/03/17 14:06:47 dia: 99  error: 0.0490807
31/03/17 14:06:49 dia: 100  error: 0.05464
31/03/17 14:06:52 dia: 101  error: 0.0608271
31/03/17 14:06:55 dia: 102  error: 0.0677125
31/03/17 14:06:57 dia: 103  error: 0.0753743
31/03/17 14:07:00 dia: 104  error: 0.0838994
31/03/17 14:07:02 dia: 105  error: 0.0933843
31/03/17 14:07:05 dia: 106  error: 0.103936
31/03/17 14:07:07 dia: 107  error: 0.115673
31/03/17 14:07:10 dia: 108  error: 0.128727
31/03/17 14:07:12 dia: 109  error: 0.143243
31/03/17 14:07:15 dia: 110  error: 0.159383
31/03/17 14:07:17 dia: 111  error: 0.177325
31/03/17 14:07:20 dia: 112  error: 0.197268
31/03/17 14:07:23 dia: 113  error: 0.219428
31/03/17 14:07:25 dia: 114  error: 0.244046
31/03/17 14:07:28 dia: 115  error: 0.271388
31/03/17 14:07:30 dia: 116  error: 0.301746
31/03/17 14:07:33 dia: 117  error: 0.335442
31/03/17 14:07:35 dia: 118  error: 0.372827
31/03/17 14:07:38 dia: 119  error: 0.41429
31/03/17 14:07:40 dia: 120  error: 0.460253
31/03/17 14:07:43 dia: 121  error: 0.511177
31/03/17 14:07:45 dia: 122  error: 0.567567
31/03/17 14:07:48 dia: 123  error: 0.629967
31/03/17 14:07:51 dia: 124  error: 0.69897
31/03/17 14:07:53 dia: 125  error: 0.77521
31/03/17 14:07:56 dia: 126  error: 0.859372
31/03/17 14:07:58 dia: 127  error: 0.952185
31/03/17 14:08:01 dia: 128  error: 0.0110768
31/03/17 14:08:05 dia: 129  error: 0.0122329
31/03/17 14:08:09 dia: 130  error: 0.0134968
31/03/17 14:08:13 dia: 131  error: 0.0148758
31/03/17 14:08:17 dia: 132  error: 0.0163765
31/03/17 14:08:21 dia: 133  error: 0.0180053
31/03/17 14:08:25 dia: 134  error: 0.0197676
31/03/17 14:08:29 dia: 135  error: 0.0216675
31/03/17 14:08:33 dia: 136  error: 0.0237075
31/03/17 14:08:37 dia: 137  error: 0.0258882
31/03/17 14:08:40 dia: 138  error: 0.028207
31/03/17 14:08:43 dia: 139  error: 0.0306579
31/03/17 14:08:47 dia: 140  error: 0.0332308
31/03/17 14:08:50 dia: 141  error: 0.0359101
31/03/17 14:08:53 dia: 142  error: 0.0386743
31/03/17 14:08:56 dia: 143  error: 0.0414948
31/03/17 14:09:00 dia: 144  error: 0.044335
31/03/17 14:09:03 dia: 145  error: 0.0471495
