Simulacion del paciente 
31/03/17 15:19:29 dia: 120  error: 0.460253
31/03/17 15:19:31 dia: 121  error: 0.511177
31/03/17 15:19:33 dia: 122  error: 0.567567
31/03/17 15:19:35 dia: 123  error: 0.629967
31/03/17 15:19:37 dia: 124  error: 0.69897
31/03/17 15:19:39 dia: 125  error: 0.77521
31/03/17 15:19:43 dia: 126  error: 0.859372
31/03/17 15:19:47 dia: 127  error: 0.952185
31/03/17 15:19:51 dia: 128  error: 0.0110768
31/03/17 15:19:54 dia: 129  error: 0.0122329
31/03/17 15:19:58 dia: 130  error: 0.0134968
31/03/17 15:20:02 dia: 131  error: 0.0148758
31/03/17 15:20:06 dia: 132  error: 0.0163765
31/03/17 15:20:10 dia: 133  error: 0.0180053
31/03/17 15:20:14 dia: 134  error: 0.0197676
31/03/17 15:20:17 dia: 135  error: 0.0216675
31/03/17 15:20:21 dia: 136  error: 0.0237075
31/03/17 15:20:25 dia: 137  error: 0.0258882
31/03/17 15:20:30 dia: 138  error: 0.028207
31/03/17 15:20:35 dia: 139  error: 0.0306579
31/03/17 15:20:40 dia: 140  error: 0.0332308
31/03/17 15:20:44 dia: 141  error: 0.0359101
31/03/17 15:20:49 dia: 142  error: 0.0386743
31/03/17 15:20:53 dia: 143  error: 0.0414948
31/03/17 15:20:57 dia: 144  error: 0.044335
31/03/17 15:21:01 dia: 145  error: 0.0471495
31/03/17 15:21:05 dia: 146  error: 0.0498837
31/03/17 15:21:09 dia: 147  error: 0.0524734
31/03/17 15:21:13 dia: 148  error: 0.0548449
31/03/17 15:21:17 dia: 149  error: 0.0569164
31/03/17 15:21:21 dia: 150  error: 6.66516
31/03/17 15:21:25 dia: 151  error: 6.95627
31/03/17 15:21:29 dia: 152  error: 7.20769
En migración 
31/03/17 15:21:33 dia: 153  error: 7.40822
En migración 
31/03/17 15:21:38 dia: 154  error: 7.54622
En migración 
31/03/17 15:21:42 dia: 155  error: 7.61007
En migración 
31/03/17 15:21:46 dia: 156  error: 7.58887
En migración 
31/03/17 15:21:50 dia: 157  error: 7.47315
En migración 
31/03/17 15:21:54 dia: 158  error: 7.25577
En migración 
31/03/17 15:21:58 dia: 159  error: 6.93287
En migración 
31/03/17 15:22:02 dia: 160  error: 6.50481
En migración 
31/03/17 15:22:06 dia: 161  error: 5.977
En migración 
31/03/17 15:22:10 dia: 162  error: 5.36055
En migración 
31/03/17 15:22:15 dia: 163  error: 4.67256
En migración 
31/03/17 15:22:19 dia: 164  error: 3.93602
En migración 
31/03/17 15:22:23 dia: 165  error: 3.17908
En migración 
31/03/17 15:22:27 dia: 166  error: 2.43394
En migración 
31/03/17 15:22:31 dia: 167  error: 1.735
En migración 
31/03/17 15:22:35 dia: 168  error: 1.11675
En migración 
31/03/17 15:22:39 dia: 169  error: 0.611322
En migración 
31/03/17 15:22:44 dia: 170  error: 0.246044
En migración 
31/03/17 15:22:48 dia: 171  error: 0.0412365
En migración 
31/03/17 15:22:51 dia: 172  error: 0.00852298
En migración 
31/03/17 15:22:55 dia: 173  error: 0.149835
En migración 
31/03/17 15:22:59 dia: 174  error: 0.457259
En migración 
31/03/17 15:23:03 dia: 175  error: 0.913726
En migración 
31/03/17 15:23:07 dia: 176  error: 1.49447
En migración 
31/03/17 15:23:11 dia: 177  error: 2.16905
En migración 
31/03/17 15:23:15 dia: 178  error: 2.90375
En migración 
31/03/17 15:23:19 dia: 179  error: 3.664
En migración 
31/03/17 15:23:23 dia: 180  error: 4.41664
En migración 
31/03/17 15:23:27 dia: 181  error: 5.13188
En migración 
31/03/17 15:23:32 dia: 182  error: 5.78465
En migración 
31/03/17 15:23:36 dia: 183  error: 6.35549
En migración 
31/03/17 15:23:40 dia: 184  error: 6.83088
En migración 
31/03/17 15:23:44 dia: 185  error: 7.20309
En migración 
31/03/17 15:23:48 dia: 186  error: 7.46969
En migración 
31/03/17 15:23:52 dia: 187  error: 7.63275
En migración 
31/03/17 15:23:56 dia: 188  error: 7.69802
En migración 
31/03/17 15:24:01 dia: 189  error: 7.67391
En migración 
31/03/17 15:24:05 dia: 190  error: 7.57066
En migración 
31/03/17 15:24:10 dia: 191  error: 7.3995
En migración 
31/03/17 15:24:14 dia: 192  error: 7.17198
En migración 
31/03/17 15:24:18 dia: 193  error: 6.89944
En migración 
31/03/17 15:24:23 dia: 194  error: 6.59258
En migración 
31/03/17 15:24:27 dia: 195  error: 6.26121
En migración 
31/03/17 15:24:31 dia: 196  error: 5.91406
En migración 
31/03/17 15:24:35 dia: 197  error: 5.55871
En migración 
31/03/17 15:24:39 dia: 198  error: 5.20159
En migración 
31/03/17 15:24:43 dia: 199  error: 4.84801
En migración 
31/03/17 15:24:47 dia: 200  error: 4.50224
En migración 
31/03/17 15:24:51 dia: 201  error: 4.1676
En migración 
31/03/17 15:24:56 dia: 202  error: 3.84658
En migración 
31/03/17 15:25:00 dia: 203  error: 3.54097
En migración 
31/03/17 15:25:04 dia: 204  error: 3.25194
En migración 
31/03/17 15:25:08 dia: 205  error: 2.98013
En migración 
31/03/17 15:25:13 dia: 206  error: 2.72581
En migración 
31/03/17 15:25:17 dia: 207  error: 2.48888
En migración 
31/03/17 15:25:22 dia: 208  error: 2.26902
En migración 
31/03/17 15:25:26 dia: 209  error: 2.06568
En migración 
31/03/17 15:25:30 dia: 210  error: 1.8782
En migración 
31/03/17 15:25:34 dia: 211  error: 1.7058
En migración 
31/03/17 15:25:38 dia: 212  error: 1.54764
En migración 
31/03/17 15:25:42 dia: 213  error: 1.40286
En migración 
31/03/17 15:25:46 dia: 214  error: 1.27057
En migración 
31/03/17 15:25:50 dia: 215  error: 1.1499
En migración 
31/03/17 15:25:54 dia: 216  error: 1.04
En migración 
31/03/17 15:25:58 dia: 217  error: 0.94003
En migración 
31/03/17 15:26:02 dia: 218  error: 0.849214
